"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000181007","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.692164274357611,-0.531086941991458,-0.602246086651537,-0.738620439023791,-0.397874225876223,-0.579207759455052,-0.597077557188391,-0.591511624664076,-0.560112314249234,-0.599521505167471,-0.614138546342773,-0.610855632717813,0.617717797900304,-0.594208015869636,-0.790177979320182,-0.696605450849353,-0.533524563188609,-0.672776933482528,-0.529689781341891,-0.50934084929895,-0.852189781818962,-0.591962981377504,-0.514863338065323,-0.708068721765968,-0.587878753804356,-0.716727170937105,-0.645448531033263,-0.664579872371585,-0.547336351664868,3.0250985589987,-0.568319080977251,2.5100802674255,-0.440898891988603,0.459809130837856,-0.517535465499268,0.558080330546352,-0.660384666615183,-0.505087924507132,-0.548980131418248,-0.578101156809064,-0.616183693730127,-0.640416397533036,2.93590690731983,-0.703471514293382,-1.10934595556332,-0.655381544331915,-0.687653456644369,-0.750842332149061,-0.761701505391618,-0.519328853287193,-0.736248363860407,-0.476082669998753,1.17788787133211,-0.584815880856516,-0.43023640706834,-0.685758962226974,-0.722806971839265,-0.600935916249519,-0.743839625100056,-0.477588412163681,0.124648246103741,-0.536009569830918,-0.802480590542678,-0.651817101368819,-0.568427392522823,"GBM"
"VU284-GBM-vIII",-0.80200172348946,-0.696662452220312,2.08543773157509,-0.834160858199016,-0.519068555197837,2.28313663247941,-0.689459360770471,0.124316723559108,-0.0398314829041662,-0.711667340130132,-0.181628763621088,-0.717188526675117,-0.691343382438585,-0.686683618272776,0.230424977034844,-0.735151860897017,-0.636631088115492,-0.773728407478117,-0.193138186204746,-0.657633308941599,-0.961069641263699,-0.68721473904143,-0.692275229194386,-0.788912936104192,1.46325873623225,-0.796888670326317,-0.754456636989181,-0.759656713857437,-0.649647833133539,-0.957830897391241,-0.684617012600958,-0.943245189180878,-0.542917193864964,2.34664409985967,-0.610864523064197,0.743735268955802,-0.745532086305945,-0.673986539405579,-0.696323906389695,0.709190744096611,-0.707759406203474,-0.729007533945645,-0.752622564494802,-0.791840941371315,-0.276555413079954,-0.743921463700672,-0.76349222831395,-0.843344197156233,-0.837115310788228,-0.668944365411854,-0.829704718749346,-0.559513297135119,-0.820110180246102,-0.676199224350236,-0.652443181665525,-0.767909019696405,-0.793559594930001,0.757710700345955,-0.809889219646836,-0.679309893325848,-0.15041196895421,-0.610792249830988,-0.917575578212972,-0.74282599001005,-0.704518005847498,"GBM"
"VU306-GBM-vIII",1.1257165106901,-0.706399232214253,2.43957525292722,-0.852603994431917,-0.533618859306246,-0.691015681270612,-0.704561594876561,-0.716546922507703,-0.65998545981374,-0.723490914426342,3.18807086714961,-0.731153385937618,-0.703591027305936,-0.701846982436256,-0.897253999729662,-0.741605299641145,-0.657453451496497,1.88281836482232,1.50344329597246,-0.670012687648031,-0.982160383839265,-0.700853276733446,-0.701468114176128,-0.803869610170334,-0.704303495224166,-0.808949730529253,-0.767197824174159,-0.774702701421472,-0.664783651068841,-0.982232876951494,-0.69670910481163,-0.967232047659424,-0.554625119359445,-0.682753950837774,-0.624748264278887,-0.442162216999962,-0.761650076747163,-0.686093408327238,-0.706836666120385,2.95816891322225,3.00589643946286,-0.742083875278617,-0.766132309656027,-0.808524981956798,-1.26942361781637,3.22099765127396,-0.775516504472407,-0.860831630340824,-0.850743109795803,-0.68150666864477,-0.847509129100028,-0.569368350578649,-0.843630144941874,-0.694447671596038,-0.664410575205696,-0.7823417369178,-0.806298531777141,-0.744710681877729,-0.821627550983205,-0.689315172404498,-0.839430950454599,-0.623725323838931,-0.940697382050709,-0.757992309737325,-0.71724560769605,"GBM"
"VU360-GBM-WT",-0.30355939633087,0.0778163376873366,0.0347886718855899,-0.358229746809594,-0.0804414669131832,0.0735431639068475,-0.0106626806225625,0.0162419190578667,-0.0922566922605485,0.0951878661957491,1.0354389748947,0.00261992396621531,0.153936577684854,-0.0118445933341589,-0.278357276757403,-0.478267790674459,2.64566570615748,1.44570573839164,1.31300940689897,0.0925101460255275,-0.491959361938745,0.0919063136060806,0.168836154368702,-0.154534794459991,-0.0349031932932284,0.0168821460714033,-0.0167420583222805,0.00240692703157689,0.0949308056385167,-0.438945789470319,0.151764452272275,-0.472842220761014,-0.00841236155609734,0.0474023431354135,-0.15358382816396,-0.0271556478987337,-0.14313336658166,0.0608888139689015,0.0867789817987487,0.0660507231422463,0.159264383339731,-0.0762736330079892,0.0151157688430767,-0.190743407912632,-0.79327230547624,-0.187916342410174,-0.0206080603353167,-0.272259301843606,-0.179825161442739,0.0334492830496103,-0.283819728315165,0.0214758870616052,-0.404720159166869,-0.233297551997623,0.202029168426781,-0.0899562053260843,-0.130804861574522,0.0446686257815662,-0.157164862538176,0.12657933645981,-0.210891473444213,-0.164837324651325,-0.46590966865701,-0.0591055635994928,0.0318219911408714,"GBM"
"VU372-GBM-vIII",1.384604580163,-0.594799368541765,-0.632073200906618,-0.763237419553367,-0.431088714966783,-0.607201931826745,-0.625583629553802,-0.622201850373895,1.83340717500966,-0.651404115094791,-0.639482345078645,-0.655880727876103,-0.606305169044227,-0.622333748224687,-0.81391876818421,-0.707403018144869,-0.561375922988623,0.767339609001613,-0.0662785195959921,-0.572315362022996,-0.88017683124657,-0.619113957009159,-0.586402045685953,-0.729406193448667,2.42565592452599,-0.743838009791416,-0.700611996781903,-0.694427364992065,-0.575253578206324,-0.866505478070119,-0.617787215979276,-0.853939007434071,-0.486152000690477,-0.600223715614319,-0.555617444584385,-0.332885272580827,-0.682556142744595,-0.564308744270756,-0.615502610695897,-0.606666827813102,-0.642588852679299,-0.676473068436997,-0.6924458005665,-0.726519622086221,-1.14239995406204,1.36156412769709,-0.713982773006086,-0.774955701265046,-0.781884896146951,-0.577168640960136,-0.760503358152466,-0.519368131464666,-0.734635277228232,-0.607900415031181,-0.496393340991013,-0.710327301884596,-0.741782775954365,1.69835214751534,-0.761692415944988,-0.540805337729508,-0.766924203339474,-0.560112377752372,-0.831478452979109,-0.682402470176623,-0.631234321052953,"GBM"
"VU378-GBM",2.75414272191025,-0.735541281004734,1.89422709678609,0.380399206824037,3.64357325283609,0.711977032817656,-0.751932375690635,3.29008091327288,0.0921874069786294,-0.759447592322575,3.01298840427261,-0.774368627957847,-0.741022925333511,-0.749483692815442,-0.0651546293476364,-0.760355101852411,3.00488858527439,1.21212225048117,3.46402199359936,-0.708096366968408,-0.391721883277443,1.0264496285134,-0.728889274445084,-0.850213845934214,-0.758822974366004,-0.845372221328368,-0.806044310440366,-0.821350354112671,-0.712451144094631,-0.324800793975999,-0.733662250748666,-1.04673703078215,1.57839134421698,-0.728844313837286,-0.668745250896938,-0.476186726412339,-0.812425110177504,-0.723132892696986,-0.0862909875654513,-0.0756963552595147,1.23923046712169,-0.782244662138372,-0.807574597004887,-0.860991678708467,0.517034537778515,-0.337103090921014,-0.811967054638415,-0.915909902484264,-0.892290164322452,-0.720151515586423,-0.903922106744348,-0.599233666763198,-0.923691329875866,-0.754519766834676,-0.699675343443128,-0.826940564075259,-0.845035973608563,3.81937921353639,-0.32002929081221,-0.719355268615324,-0.883929979144055,-0.664374200628934,-1.01734214757886,-0.805264439770013,-0.756268315156019,"GBM"
"VU383Platelet-hiseq",1.22012167326531,-0.726946739521435,-0.757388770359253,-0.893598776752964,-0.566369830619958,-0.722430629895467,-0.73760144489096,3.08393080412312,-0.689527436018471,-0.748751578430325,-0.781498170920606,-0.76139058545033,-0.729858285014975,-0.7350597899812,-0.933814644349098,-0.754912844146003,-0.706016022754232,2.87177878354528,-0.685047438915232,-0.696696554966348,-1.02909517853464,-0.730385024280177,-0.720817005752429,-0.836284907832175,-0.742174693438203,-0.834578401389365,-0.794472150968826,-0.807327615613755,-0.698000035436615,-1.03761365032293,-0.722641039132682,-1.02191728157087,-0.58020967151327,-0.714914852970814,-0.655356139790234,-0.465834216844231,-0.797025491395977,-0.712078868021852,-0.729139718148614,-0.724856889185477,4.14455635252208,-0.770232953279908,-0.795188319822115,-0.845093735613394,-1.33287100622355,-0.798432104502872,-0.801142426989976,-0.899204782144796,-0.879913105582661,-0.70858366976995,-0.886754935144078,-0.590368486796655,-0.898318060432721,-0.735843175187001,-0.689167584447502,-0.813556893382452,-0.833512267589736,-0.764044168169071,-0.846538836257633,-0.71048096476121,-0.870608494550733,-0.652060087082348,-0.993412947901388,-0.791011550184226,-0.744608530937936,"GBM"
"VU393-GBM-vIII",-0.500130063919761,-0.201771665607528,3.61474398649025,-0.564684867717993,-0.226195963925694,2.81616162970077,-0.301514956785998,-0.282793431056116,-0.30708033264411,-0.223799422084465,-0.397629523780454,-0.279067515874758,-0.162075180620694,-0.2929746490133,-0.561274147588758,-0.62560996066301,-0.356225452877455,-0.501218592323528,-0.352329930097417,-0.183839684365532,-0.700191609673537,-0.224142103746045,-0.145095766057428,-0.422078563827871,-0.3143524814097,-0.321482443668154,-0.3054230249555,-0.319133544575534,-0.209247269689725,-0.66485086449097,-0.178873801758719,-0.665966273361551,-0.2069956990598,-0.259338171307864,-0.320698236928764,-0.154239114016667,-0.397530673528958,-0.198988758550208,-0.205140321271209,-0.248360358874116,-0.206925619489301,-0.33530910608017,-0.294677303160947,-0.454310868848792,0.06920503199698,-0.411687832424358,-0.329408267033639,-0.523745487729475,-0.464257748737057,-0.220367933183793,-0.52165799675238,-0.206986346815928,-0.562845313734879,-0.398543170151159,-0.0882860190657112,-0.376434613044602,-0.408163996445663,2.06322713938807,-0.442813483868899,-0.150834269493991,-0.479476485293535,-0.335267194831983,-0.650053519674246,-0.331258861020007,-0.243792432788699,"GBM"
"VU394Platelet-hiseq",-0.848635222955345,-0.716626578691965,-0.739221548340854,-0.872633845085647,2.3017622845993,3.38936093640943,-0.720800184034217,-0.735619197687068,-0.674512605913479,-0.736010545407264,-0.757646007593692,-0.746069042831735,-0.716592187351654,-0.718163611539634,-0.915258063101913,-0.748281521065203,-0.680761219815614,-0.816164209349898,-0.663705907748537,-0.683196639334904,-1.00508488940408,-0.71542109262061,-0.711107579832608,-0.819853820052939,2.22384331395158,-0.82167564969848,-0.780706057546616,-0.790788139549765,-0.681091408979508,1.01822179858134,-0.709544626023077,-0.993700874554047,-0.567204459090429,-0.698568212421499,-0.639748909283037,-0.45376367428524,-0.779015689709017,-0.698951488608816,-0.717917456132461,-0.708283486438999,-0.731901791932376,-0.755997807269419,-0.780499306221228,-0.826484833733443,0.470605346437703,-0.779270945864043,-0.788227973423407,-0.879669400677206,-0.865190284084107,-0.694884944739614,-0.866743705667529,-0.579786630286977,-0.503500649954633,-0.714522937245195,-0.67667024802317,-0.797745680535468,-0.819786209954553,-0.754351707957994,-0.834002494429134,-0.699841426482705,-0.854835161734227,-0.637643171469171,-0.966212006671856,-0.774248438376406,-0.730777350200358,"GBM"
"VU398-GBM",1.50377498472434,0.31142840371996,1.51362628811511,-0.185724464858853,0.0413449072493986,0.335784208663585,0.23236134166774,0.266103376393855,0.0872409752760793,1.62938532016325,-0.0480599465833905,0.237986191549901,0.417982813139735,0.223055947308139,-0.0419637479524771,-0.172827701888435,-0.0799251345244834,-0.179424580349659,1.03083741877159,0.323416529935463,-0.308680739863746,0.355983179830219,0.431144564100416,0.0690136124087633,2.21648930757408,0.299605474503959,0.224467708351294,0.271072724562317,0.349089309515064,-0.250188937670891,0.428031977070655,-0.302199100921678,0.15751558673632,0.303701914184722,-0.0139500032670055,0.0790299921449266,0.069430404999108,0.278031666724641,0.330694567236267,0.328759500299371,0.465237465565145,0.140165596597694,0.27396592958165,0.0294825615948327,-0.676696486797592,-0.000942225189995553,0.237412503594296,-0.0621279415165964,0.057834836775249,0.245528355041822,-0.0850919981677382,0.212369394070456,-0.269421086724275,-0.0952252105353443,0.44460442184081,0.149413195049352,0.100944855032357,0.292361512217456,0.0815112029654751,0.35837456682983,0.0135269521823756,-0.0224332385769157,-0.304610488045543,0.168294372516311,0.262113900106204,"GBM"
