"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161"
"VU280-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,9.8470426521664,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,6.76043844756483,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,7.21282770514827,3.44218796603894,6.96117647132636,3.44218796603894,3.86577245501766,3.44218796603894,4.0391138070991,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.37658678149454,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.10190061260451,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU284-GBM-vIII",3.44218796603894,3.91658482572392,3.44218796603894,4.43346098298596,3.44218796603894,5.55761687559197,3.44218796603894,4.53355680532959,3.44218796603894,3.77838928493458,3.77838928493458,4.74528752714856,3.44218796603894,4.88787905805137,3.77838928493458,3.44218796603894,3.44218796603894,5.12771524926263,3.44218796603894,3.44218796603894,3.91658482572392,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.77838928493458,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.8642375014202,4.25671300898034,3.44218796603894,3.44218796603894,4.43346098298596,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.70640016293494,3.44218796603894,4.11013145322826,4.25671300898034,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.91658482572392,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.32009893599846,3.44218796603894,6.7116315793069,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.91658482572392,3.44218796603894,3.44218796603894,3.77838928493458,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU306-GBM-vIII",4.52814682599719,7.66511960584476,3.44218796603894,4.79143376607783,3.44218796603894,4.33560700248157,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,6.6618938605161,3.44218796603894,5.35419219096457,5.5257434771876,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.73917488551677,5.26973922569043,4.88647232199188,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.20236898325357,4.94553450487069,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.20236898325357,5.57817999381724,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU360-GBM-WT",3.44218796603894,6.83151824843045,3.44218796603894,3.44218796603894,3.44218796603894,5.65709138467558,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.56956454959917,3.44218796603894,5.14319897966588,4.46085586536336,3.44218796603894,3.44218796603894,4.1698150607317,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,6.08764547157696,3.44218796603894,5.00845082479861,4.85569574794892,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,6.63841183407827,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.67776584651975,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU372-GBM-vIII",4.73032025070157,6.03058488187713,3.44218796603894,3.44218796603894,3.44218796603894,5.70866394104467,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.55013745866681,5.28158000144456,3.44218796603894,4.61396282630434,3.44218796603894,3.44218796603894,3.44218796603894,6.2260566586844,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.73032025070157,4.40735421024837,3.84232095538972,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.93004932344206,5.05926457377752,3.44218796603894,3.44218796603894,4.40735421024837,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.40735421024837,6.76831949284486,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.13090371838305,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU378-GBM",7.18549107642278,8.12622105449128,3.44218796603894,4.32702403716473,4.1002537662973,7.64003112446143,5.53672494792692,3.90950946130188,3.44218796603894,5.56170143254202,3.82430679915445,7.40801685226551,3.44218796603894,4.15197799312064,7.12697414121145,3.44218796603894,3.44218796603894,4.53331354423963,3.71278047651513,3.44218796603894,3.82430679915445,3.44218796603894,6.26604500049787,4.64856177923435,4.72688940513365,6.11095531600461,3.44218796603894,3.82430679915445,3.98102913094108,3.44218796603894,3.44218796603894,4.1002537662973,3.44218796603894,3.44218796603894,3.44218796603894,4.1002537662973,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.82430679915445,3.44218796603894,3.44218796603894,4.43634975891547,3.44218796603894,3.44218796603894,3.44218796603894,3.90950946130188,3.44218796603894,3.44218796603894,3.44218796603894,3.71278047651513,3.71278047651513,3.98102913094108,3.44218796603894,3.44218796603894,3.44218796603894,5.27132285600876,3.71278047651513,5.63387569243675,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.98102913094108,3.44218796603894,3.44218796603894,4.67535519576647,3.71278047651513,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU383Platelet-hiseq",4.5912502618408,6.78715121498325,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.40833463810811,3.44218796603894,3.44218796603894,3.44218796603894,6.10338269984634,3.44218796603894,3.44218796603894,3.44218796603894,6.79838431927886,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.85148381168103,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.56876435134736,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.71194308045948,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU393-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,5.79337898235282,3.44218796603894,6.38354725540381,3.44218796603894,5.1489811359643,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.4140373724092,3.44218796603894,3.44218796603894,3.44218796603894,5.69764960896122,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,7.00420349671105,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.68217622730031,3.44218796603894,6.70403484078377,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.24056209493228,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU394Platelet-hiseq",3.44218796603894,6.83558592433679,3.44218796603894,3.44218796603894,3.44218796603894,4.04540084101317,4.84346538799784,5.49666230699209,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.7454375925754,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.81481362485526,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.47257081525222,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.84346538799784,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.20354087626459,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.7454375925754,3.44218796603894,3.44218796603894,4.17835042487232,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU398-GBM",4.94503175563759,6.1637465233818,3.44218796603894,4.33529168787317,3.44218796603894,5.33300597684639,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.33529168787317,4.33529168787317,4.33529168787317,3.44218796603894,3.44218796603894,3.44218796603894,4.33529168787317,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.33529168787317,3.44218796603894,4.68655830871037,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,7.09781869088893,4.68655830871037,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.33529168787317,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
